REGION,OS,PROTOCOL,X_1,X_2,X_3,X_4,X_5,X_6,X_7,MALICIOUS_OFFENSE
Africa,Linux,HTTP,36,2,5,6,29,174,92,0
North America,Windows,HTTP,37,0,11,17,142,236,103,1
Asia,Linux,FTP,3,3,1,0,93,174,110,1
Africa,Linux,HTTP,33,2,7,1,29,249,72,1
Africa,Linux,HTTP,33,2,8,3,29,174,112,1
South America,Linux,HTTP,45,10,1,0,62,303,72,1
South America,Linux,HTTP,30,7,7,1,29,174,112,1
South America,Linux,HTTP,8,7,9,8,62,316,72,1
Asia,Linux,SMTP,49,6,8,3,14,316,103,1
Asia,Windows,HTTP,4,6,15,10,29,145,103,0
Asia,Windows,HTTP,4,6,15,10,130,174,103,1
Africa,Linux,HTTP,33,2,5,6,93,174,72,1
Asia,Linux,HTTP,4,6,5,6,29,174,42,1
Asia,Windows,HTTP,4,6,15,10,133,174,18,1
South America,Linux,HTTP,7,7,2,7,62,316,72,1
Africa,Linux,HTTP,36,2,4,2,29,249,92,1
North America,Linux,HTTP,25,9,4,2,29,0,72,1
Africa,Linux,HTTP,36,2,1,0,142,0,92,1
North America,Windows,HTTP,37,0,11,17,115,174,103,1
Asia,Linux,HTTP,3,3,1,0,29,249,2,1
Africa,Linux,HTTP,21,4,5,6,53,174,18,1
Africa,Linux,HTTP,36,2,1,0,93,174,92,1
South America,Linux,HTTP,47,7,4,2,62,316,98,1
South America,Mac,HTTP,22,7,13,18,29,316,92,1
Asia,Linux,HTTP,49,6,5,6,29,249,67,1
Asia,Linux,HTTP,4,6,3,5,80,174,72,1
Asia,Linux,HTTP,4,6,3,5,142,0,103,1
Asia,Linux,HTTP,15,3,4,2,133,174,116,1
Africa,Linux,HTTP,36,2,1,0,62,316,92,1
Africa,Linux,HTTP,21,4,4,2,103,174,111,1
North America,Windows,HTTP,37,0,11,17,77,127,103,1
Asia,Linux,HTTP,49,6,2,7,107,249,72,1
Africa,Mac,HTTP,21,4,9,8,14,174,112,1
Asia,Linux,HTTP,4,6,7,1,62,316,72,1
North America,Linux,HTTP,16,0,8,3,6,0,12,1
South America,Mac,HTTP,22,7,16,12,29,0,34,1
Africa,Linux,HTTP,36,2,6,4,142,316,92,1
North America,Windows,SMTP,37,0,11,17,130,299,103,1
South America,Linux,HTTP,11,7,3,5,62,316,12,1
Asia,Linux,HTTP,4,6,5,6,29,174,103,1
Africa,Linux,HTTP,36,2,1,0,93,249,92,1
Africa,Linux,HTTP,36,2,4,2,142,299,92,1
Asia,Linux,HTTP,4,6,4,2,62,249,72,1
Africa,Windows,HTTP,36,2,15,10,130,316,92,1
Africa,Linux,HTTP,48,4,7,1,62,158,103,0
Asia,Linux,HTTP,39,6,4,2,80,249,103,1
Africa,Linux,HTTP,33,2,9,8,29,249,103,1
Africa,Linux,HTTP,21,4,4,2,80,12,103,0
North America,Linux,HTTP,16,0,1,0,142,316,72,1
Asia,Linux,HTTP,5,3,3,5,29,249,103,1
Africa,Linux,HTTP,21,4,2,7,87,249,2,1
South America,Linux,HTTP,38,10,3,5,0,0,72,1
South America,Linux,HTTP,38,10,7,1,142,174,103,1
Asia,Linux,HTTP,4,6,2,7,29,249,112,1
Asia,Linux,HTTP,46,3,7,1,142,74,113,1
Africa,Linux,HTTP,36,2,1,0,80,0,92,1
Asia,Windows,HTTP,4,6,15,10,93,174,109,1
Africa,Linux,HTTP,33,2,6,4,93,174,72,1
South America,Linux,HTTP,22,7,7,1,103,0,98,1
South America,Windows,HTTP,22,7,15,10,93,174,72,1
Asia,Windows,HTTP,39,6,15,10,80,249,72,1
South America,Linux,HTTP,45,10,3,5,29,249,103,1
South America,Linux,HTTP,19,1,6,4,29,249,103,1
South America,Windows,HTTP,22,7,15,10,142,303,112,1
South America,Windows,HTTP,47,7,15,10,29,174,92,1
Asia,Linux,HTTP,3,3,1,0,62,249,103,1
Asia,Linux,HTTP,4,6,5,6,29,174,103,1
North America,Windows,HTTP,18,9,13,18,142,249,112,1
South America,Linux,HTTP,22,7,2,7,142,303,72,1
Asia,Linux,HTTP,35,3,1,0,29,249,103,1
South America,Linux,HTTP,47,7,5,6,124,249,24,1
South America,Linux,HTTP,45,10,8,3,29,174,112,1
South America,Mac,HTTP,9,7,9,8,130,249,103,1
Asia,Linux,HTTP,15,3,5,6,130,174,92,1
Africa,Windows,HTTP,36,2,15,10,29,174,92,1
Africa,Linux,HTTP,33,2,7,1,62,249,103,1
Asia,Linux,HTTP,49,6,4,2,29,316,103,1
South America,Linux,HTTP,2,10,7,1,93,174,112,1
South America,Linux,HTTP,45,10,3,5,29,174,103,1
Africa,Mac,HTTP,21,4,9,8,93,174,112,1
Asia,Linux,HTTP,4,6,2,7,93,174,72,1
Africa,Linux,HTTP,36,2,1,0,93,174,92,1
Asia,Linux,HTTP,4,6,6,4,14,174,116,1
Asia,Linux,HTTP,4,6,6,4,138,174,18,1
Africa,Linux,HTTP,21,4,2,7,29,249,116,1
Asia,Linux,HTTP,4,6,4,2,142,316,72,1
Asia,Linux,FTP,4,6,3,5,103,249,103,1
North America,Linux,HTTP,16,0,1,0,29,249,72,1
Asia,Linux,HTTP,39,6,5,6,119,174,103,1
South America,Linux,HTTP,44,1,2,7,107,0,34,1
North America,Linux,HTTP,37,0,3,5,130,249,98,1
North America,Linux,HTTP,37,0,4,2,29,249,103,1
South America,Mac,HTTP,8,7,18,13,29,316,98,1
South America,Linux,HTTP,38,10,6,4,87,316,98,1
